[cited 2018 20 March].
Abstracts of Papers, 221st ACS National Meeting, San Diego, CA, United States, April 1-5, 2001
Abstracts of Papers, 222nd ACS National Meeting, Chicago, IL, United States, August 26-30, 2001
Abstracts of Papers, 225th ACS National Meeting, New Orleans, LA, United States, March 23-27, 2003
Abstracts of Papers, 230th ACS National Meeting, Washington, DC, United States, Aug. 28-Sept. 1, 2005
Bulletin of the Academy of Sciences of the USSR, Physical Series (translation of Izvestiya Akademii Nauk SSSR, Scriya Fizicheskaya)	Bull. Acad. Sci. USSR, Phys. Ser.	Bull Acad Sci USSR, Phys Ser
Bulletin of the American Astronomical Society	Bull. Am. Astron. Soc.	Bull Am Astron Soc
Bulletin of The American Physical Society	Bull. Am. Phys. Soc.	Bull Am Phys Soc
Bulletin of the Astronomical Institutes of the Netherlands	Bull. Astron. Instit. Neth.	Bull Astron Instit Neth
Bulletin of the Chemical Society of Japan	Bull. Chem. Soc. Jpn.	Bull Chem Soc Jpn
Bulletin of the Korean Chemical Society	Bull. Korean Chem. Soc.	Bull Korean Chem Soc
Bulletin of the Polish Academy of Sciences Chemistry	Bull. Pol. Acad. Sci., Chem.	Bull Pol Acad Sci, Chem
Bulletin of the Seismological Society of America	Bull. Seismol. Soc. Am.	Bull Seismol Soc Am
Cahiers d'Informations Techniques / Revue de Metallurgie	Cah. Inf. Tech./Rev Metall	Cah Inf Tech/Rev Metall
Calphad - Computer Coupling of Phase Diagrams and Thermochemistry	Calphad	Calphad
Canadian Ceramics Quarterly	Can. Ceram. Q.	Can Ceram Q
Canadian Journal of Analytical Sciences and Spectroscopy	Can. J. Anal. Sci. Spectros.	Can J Anal Sci Spectros
Canadian Journal of Biochemistry	Can. J. Biochem.	Can J Biochem
Canadian Journal of Chemical Engineering	Can. J. Chem. Eng.	Can J Chem Eng
Canadian Journal of Chemistry	Can. J. Chem.	Can J Chem
Canadian Journal of Microbiology	Can. J. Microbiol.	Can J Microbiol
Canadian Journal of Physics	Can. J. Phys.	Can J Phys
Canadian Journal of Physiology and Pharmacology	Can. J. Physiol. Pharmacol.	Can J Physiol Pharmacol
Canadian Journal of Research	Can. J. Res.	Can J Res
Canadian Metallurgical Quarterly	Can. Metall. Q.	Can Metall Q
Canadian Mineralogist	Can. Mineral.	Can Mineral
Canadian Mining Journal	Can. Min. J.	Can Min J
Carbohydrate Chemistry	Carbohydr. Chem.	Carbohydr Chem
Carbohydrate Letters	Carbohydr. Lett.	Carbohydr Lett
Carbohydrate Polymers	Carbohydr. Polym.	Carbohydr Polym
Carbohydrate Research	Carbohydr. Res.	Carbohydr Res
Carbon
Catalysis Communications	Catal. Commun.	Catal Commun
Catalysis Letters	Catal. Lett.	Catal Lett
Catalysis Reviews - Science and Engineering	Cat. Rev. - Sci. Eng.	Cat Rev - Sci Eng
Catalysis Today	Catal. Today	Catal Today
Cell Biochemistry and Function	Cell Biochem. Funct.	Cell Biochem Funct
Cellular Physiology and Biochemistry	Cell. Physiol. Biochem.	Cell Physiol Biochem
Cellular Polymers	Cell. Polym.	Cell Polym
Cellulose Chemistry and Technology	Cellul. Chem. Technol.	Cellul Chem Technol
Cement and Concrete Composites	Cem. Concr. Compos.	Cem Concr Compos
Cement and Concrete Research	Cem. Concr. Res.	Cem Concr Res
Ceramic Transactions	Ceram. Trans.	Ceram Trans
Ceramics - Silikaty	Ceram. Silik.	Ceram Silik
Ceramics International	Ceram. Int.	Ceram Int
Cereal Chemistry	Cereal Chem.	Cereal Chem
Chem. Phys. Lett.
